c_name,m_name,t_name,init_method,epsilon,pc_name,date,m,n,k,iteration,exec_time,qr_time,manip_time,bw_time,obj_fun,U_norm,V_norm
pretest,vegeta,1_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:07,735,735,1,5,0.0781230926513669,0.0,0.0781230926513669,0.0,31217.791353505192,14.516211107746,4415.940530042625
pretest,vegeta,1_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:20,735,735,1,6,0.06862854957580486,0.010283946990966757,0.0583446025848381,0.0,31217.791353082164,8.6045455192946,7449.867611231102
pretest,vegeta,1_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:22,735,735,1,4,0.0463347434997556,0.0,0.0463347434997556,0.0,31217.79135407249,5055.2807818985975,12.68034907232183
pretest,vegeta,1_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:36,735,735,1,5,0.0178990364074706,0.0,0.0178990364074706,0.0,31217.791352527067,234.87079411164635,272.92761203572843
pretest,vegeta,1_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:29,735,735,1,4,0.06425166130065861,0.0001587867736816,0.0625922679901118,0.0015006065368652001,31217.79135350001,236.3453970124227,271.22476588779807
pretest,vegeta,20_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:16:59,735,735,20,77,13.621116638183583,0.2101418972015364,13.238468408584588,0.1725063323974599,8620.805685515625,358.0888433454009,795.681306567187
pretest,vegeta,20_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:14:46,735,735,20,125,23.026305913925153,0.3127741813659606,22.46385979652404,0.2496719360351511,8620.805780580311,595.4857932748988,445.7260988382618
pretest,vegeta,20_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:12,735,735,20,115,22.031496524810766,0.2892909049987697,21.556706190109246,0.18549942970275146,8620.805737417028,192.83383359695864,1693.2002930730323
pretest,vegeta,20_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:26,735,735,20,104,19.40834760665892,0.251570701599116,18.963495731353753,0.1932811737060501,8620.805758524659,180.56273855704063,1689.6689351789505
pretest,vegeta,20_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:27,735,735,20,130,22.61008501052855,0.4344787597656216,22.023316860198968,0.15228939056396262,8620.805736806762,12791.99417697219,26.852939861748258
pretest,vegeta,20_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:40,735,735,20,70,13.054753065109239,0.2273235321044884,12.71130466461181,0.1161248683929412,8620.805748781488,555.9250309086078,570.611657858748
pretest,vegeta,20_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:34,735,735,20,120,21.907125711441026,0.3147995471954296,21.407319068908684,0.1850070953369101,8620.805750020769,613.596152890437,569.3523376876775
pretest,vegeta,2_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:16:54,735,735,2,6,0.10517239570617629,0.0,0.10517239570617629,0.0,22352.118196624444,99.61685382225332,1275.6772405344882
